N°Obs,"En moyenne, à quelle fréquence achetez-vous des vêtements ?",Où achetez-vous le plus souvent ? (choix multiples),Quel est le cycle de vie moyen d’un vêtement dans votre garde-robe avant que vous ne vous en sépariez ?,Que faites-vous le plus souvent des vêtements dont vous souhaitez vous séparer ? (choix multiples),"Après avoir acheté des vêtements, à quelle fréquence finissent-ils par ne jamais être portés ?",Jusqu’à quel point les tendances actuelles influencent-elles vos décisions d’achat ?,A quelle fréquence achetez-vous un vêtement uniquement parce qu'il est tendance ?,Avez-vous déjà ressenti une pression sociale liée à la mode ?,Avez-vous déjà évité de porter un vêtement parce qu’il n’était “plus à la mode” ?,Dans quelle mesure vos vêtements contribuent-ils à votre confiance en vous ?,Pensez-vous que bien s’habiller aide dans la vie sociale ?,"Jusqu’à quel point les réseaux sociaux (influenceurs, célébrités) dictent-ils vos choix vestimentaires ?",Je publie parfois des photos de mes achats “tendance” pour les partager avec mes amis et ma famille.,Avez-vous déjà ressenti un sentiment de culpabilité après avoir acheté un article tendance vu sur les réseaux sociaux ?,Avez-vous déjà remarqué une différence dans la manière dont vous êtes perçu(e) lorsque vous ne suivez pas une tendance ?,Avez-vous déjà acheté certains de ces articles ? (choix multiples),Connaissez-vous le concept de “fast fashion” ?,"“La fast fashion, ou « mode rapide », est une façon de produire et vendre des vêtements très vite, en suivant les dernières tendances, à des prix très bas.” __Avez-vous déjà consommé sur des plateformes de fast fashion (Shein, Temu, etc.) ?","Dans quelle mesure les considérations éthiques (conditions de travail)/environnementales (pollution, matériaux)  affectent-elles vos achats ?","Si un vêtement éthique (bio, local, éco-responsable) coûtait 20 % plus cher, dans quelle mesure seriez-vous prêt(e) à l’acheter ?",Pour quelles raisons achetez-vous des vêtements de marques considérées comme fast fashion ? (Choix multiples),Quel est votre âge ?,Êtes-vous :,"Selon vous, la mode est-elle davantage un outil d'expression personnelle ou un moyen de se conformer aux attentes sociales?",Quelle est votre situation professionnelle ?,(Quelle est votre situation professionnelle ?) Précisez :,"(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ?) Prix","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Qualité","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Marque","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Mode / tendances","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Confort","Bonjour,_Ce questionnaire porte sur la mode et son influence dans la vie _quotidienne._Il est anonyme et confidentiel, il ne vous _prendra que quelques minutes._Merci d'avance pour votre participation  !",Clé,Date de saisie,Date de dernier enregistrement,Date de dernière modification,Temps de saisie,Origine,Langue,Appareil utilisé pour la saisie,Progression,Dernière question saisie,
209,Tous les 2 à 3 mois,Friperie / Seconde main,1 à 5 ans,Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,6,Rarement,Parfois,Parfois,7,Beaucoup,6,8,3,6,Pantalon cargo;Tote bag;Samba,Oui,Oui,8,4,Beaucoup d’options;Abordables;Facilité d’achat,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,6,4,7,10,0 K,7VT8-R4DR,31/10/2025 20:52:31,31/10/2025 20:58:28,,"356,508553",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
210,Au moins une fois par an,Internet,Plus de 5 ans,Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,6,Rarement,Rarement,Parfois,8,Beaucoup,6,1,7,3,Pantalon cargo;Tote bag;Samba,Oui,Oui,5,6,Abordables;Facilité d’achat;Par conseil d’amis/famille,16,Une femme,Je ne sais pas,Étudiant(e),,8,6,3,7,7,,79VJ-83Q8,31/10/2025 20:58:33,31/10/2025 21:06:14,,"461,520357",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
211,Au moins une fois par mois,Magasin physique;Internet,6 mois à 1 an,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,5,Rarement,Jamais,Parfois,8,Assez,2,10,,6,Pantalon cargo;Campus;Sonny Angel;Labubu;Tote bag;Stanley Cup;Balletcore flats;Samba,Oui,Oui,6,5,Facilité d’achat,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,1,10,1,6,1,,M88Z-J9QN,31/10/2025 21:06:28,31/10/2025 21:10:07,,"219,04783",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
212,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les vends,Je porte presque toujours mes achats,5,Rarement,Jamais,Jamais,3,Assez,2,2,,1,Pantalon cargo,Oui,Oui,6,4,Beaucoup d’options;Abordables;Par réseaux sociaux/Publicité,16,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,10,10,7,5,10,,NQDP-E3ES,31/10/2025 21:49:27,31/10/2025 21:52:23,,"175,870605",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
213,Au moins une fois par an,Magasin physique;Internet;Friperie / Seconde main;Marché local,1 à 5 ans,Je les recycle,Je porte presque toujours mes achats,1,Jamais,Jamais,Jamais,1,Assez,1,1,,1,Aucun,Non,"Non, mais je connais ces plateformes",1,1,Beaucoup d’options,17,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,10,1,1,5,,9JD9-UUTA,31/10/2025 22:25:35,31/10/2025 22:29:33,,"238,471775",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
214,Au moins une fois par mois,Magasin physique;Internet;Friperie / Seconde main;Marché local,1 à 5 ans,Je les donne;Je les recycle,Certains vêtements restent parfois inutilisés,4,Rarement,Rarement,Jamais,8,Assez,1,2,3,2,Pantalon cargo;Tote bag,Oui,Oui,10,10,Par réseaux sociaux/Publicité,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,8,1,5,8,,CZN4-3ZUE,31/10/2025 22:35:34,31/10/2025 22:41:28,,"353,912876",direct,FR,Smartphone,Terminé,,
215,Au moins une fois par mois,Magasin physique;Marché local,1 à 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,8,Souvent,Souvent,Parfois,8,Beaucoup,7,3,5,5,Pantalon cargo;Campus;Samba,Non,Oui,6,6,Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections,34,Une femme,C'est un moyen de se conformer aux attentes sociales,Ouvrier / Ouvrière,,10,6,7,10,7,,8E3L-M6MQ,31/10/2025 22:45:18,31/10/2025 22:50:26,,"307,170957",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
216,Au moins une fois par an,Internet,1 à 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,2,Rarement,Rarement,Jamais,7,Assez,4,1,2,3,Tote bag,Oui,"Non, mais je connais ces plateformes",8,8,Abordables,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,8,2,2,8,,T9DK-KFJ6,31/10/2025 23:49:05,31/10/2025 23:53:21,,"255,846041",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
217,Au moins une fois par an,Magasin physique;Internet;Marché local,Plus de 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,7,Parfois,Parfois,Parfois,5,Peu,2,1,1,6,Aucun,Non,Oui,2,8,Beaucoup d’options;Abordables,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,5,7,1,5,6,,VWX4-2N5R,01/11/2025 00:07:03,01/11/2025 00:15:50,,"526,37729",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
218,Tous les 2 à 3 mois,Magasin physique;Internet,6 mois à 1 an,Je les jette,Certains vêtements restent parfois inutilisés,5,Parfois,Rarement,Jamais,6,Beaucoup,5,5,4,5,Samba,Oui,Oui,6,3,Abordables,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,7,7,4,4,6,,PLHC-7E7P,01/11/2025 00:46:51,01/11/2025 00:49:56,,"184,723204",direct,FR,Smartphone,Terminé,,
219,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,8,Parfois,Parfois,Rarement,10,Assez,8,1,7,6,Pantalon cargo;Campus;Sonny Angel;Tote bag;Samba,J’en ai entendu parler sans bien savoir,Oui,5,5,Facilité d’achat;Par conseil d’amis/famille;Par réseaux sociaux/Publicité,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,5,8,8,10,8,,YTS6-T88J,01/11/2025 00:53:16,01/11/2025 00:56:40,,"204,205333",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
220,Au moins une fois par mois,Magasin physique;Internet;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les recycle;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,2,Rarement,Parfois,Jamais,9,Assez,4,10,3,8,Pantalon cargo;Tote bag,Oui,Oui,10,7,Abordables;Par conseil d’amis/famille,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,7,6,3,1,5,,BE94-AFGE,01/11/2025 01:06:59,01/11/2025 01:18:26,,"686,915032",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
221,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les jette;Je les recycle;Je les garde sans les utiliser,Je porte presque toujours mes achats,8,Parfois,Parfois,Souvent,8,Beaucoup,5,4,7,7,Pantalon cargo;Campus,Non,Oui,7,5,Facilité d’achat;Mode actuelle,17,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,9,5,2,8,10,,2YCD-Z54F,01/11/2025 01:15:42,01/11/2025 01:20:03,,"260,865655",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
222,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,8,Parfois,Parfois,Souvent,7,Beaucoup,8,1,1,1,Aucun,Oui,Oui,1,1,Abordables;Mode actuelle,16,Une femme,Je ne sais pas,Étudiant(e),,10,5,7,10,10,,84DG-DMQ7,01/11/2025 01:31:14,01/11/2025 01:35:03,,"229,696856",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
223,Au moins une fois par semaine,Magasin physique;Internet;Friperie / Seconde main;Marché local,Plus de 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,8,Parfois,Souvent,Parfois,1,Pas du tout,6,10,1,1,Pantalon cargo;Campus;Sonny Angel,J’en ai entendu parler sans bien savoir,Oui,1,2,Par conseil d’amis/famille,16,Une femme,Je ne sais pas,Étudiant(e),,5,10,4,7,10,,92S4-F6QB,01/11/2025 03:51:52,01/11/2025 03:55:43,,"230,977756",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
224,Au moins une fois par an,Magasin physique;Internet,1 à 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,3,Rarement,Jamais,Jamais,8,Assez,1,1,,3,Pantalon cargo;Campus,J’en ai entendu parler sans bien savoir,Oui,4,7,Abordables,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,10,6,5,10,,UT9R-56U9,01/11/2025 04:13:36,01/11/2025 04:19:58,,"382,19522",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
225,Tous les 4 à 6 mois,Magasin physique;Marché local,Plus de 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,3,Rarement,Jamais,Jamais,6,Assez,3,2,,1,Aucun,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",3,3,Par conseil d’amis/famille,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,5,5,1,5,10,,45L5-G5QB,01/11/2025 04:39:25,01/11/2025 04:51:21,,"715,942896",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
226,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,7,Souvent,Parfois,Parfois,9,Assez,6,1,2,6,Aucun,J’en ai entendu parler sans bien savoir,Oui,4,5,Beaucoup d’options;Abordables;Mode actuelle,16,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,9,5,6,8,6,,3AA5-VMQ9,01/11/2025 07:14:02,01/11/2025 07:20:45,,"403,439659",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
227,Tous les 2 à 3 mois,Magasin physique;Internet,Plus de 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,4,Rarement,Parfois,Parfois,6,Peu,3,1,2,2,Pantalon cargo;Campus,Oui,Oui,6,5,Abordables,18,Une femme,Je ne sais pas,Étudiant(e),,8,6,5,5,7,,2JGK-U55N,01/11/2025 08:43:09,01/11/2025 08:49:03,,"353,979826",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
228,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,9,Rarement,Jamais,Rarement,9,Assez,5,7,,1,Pantalon cargo;Campus,Oui,Oui,6,3,Par conseil d’amis/famille,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,2,1,8,8,,3JB7-T23S,01/11/2025 09:17:43,01/11/2025 09:21:44,,"241,366304",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
229,Tous les 2 à 3 mois,Internet,1 à 5 ans,Je les donne;Je les jette,Je porte presque toujours mes achats,5,Rarement,Jamais,Jamais,5,Assez,1,1,,1,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",1,1,Beaucoup d’options,18,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,7,7,6,1,10,,9T37-Z98A,01/11/2025 09:46:36,01/11/2025 09:50:26,,"229,498965",Direct,FR,Tablette,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
230,Au moins une fois par mois,Magasin physique,6 mois à 1 an,Je les donne;Je les vends;Je les recycle,Je porte presque toujours mes achats,6,Parfois,Rarement,Jamais,8,Assez,5,2,6,5,Campus;Sonny Angel,Oui,Oui,7,8,Beaucoup d’options;Abordables;Mode actuelle;Renouvellement des collections,14,Une femme,Je ne sais pas,Étudiant(e),,9,6,4,7,5,,ESX6-FYB9,01/11/2025 10:15:28,01/11/2025 10:20:10,,"282,45009",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
231,Tous les 2 à 3 mois,Internet;Marché local,1 à 5 ans,Je les jette,Certains vêtements restent parfois inutilisés,1,Jamais,Jamais,Jamais,6,Beaucoup,1,1,,1,Aucun,J’en ai entendu parler sans bien savoir,Oui,3,1,Abordables;Facilité d’achat,18,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,5,1,1,10,,EBM7-U9ZJ,01/11/2025 10:23:59,01/11/2025 10:28:45,,"285,865987",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
232,Tous les 2 à 3 mois,Internet;Friperie / Seconde main;Marché local,Plus de 5 ans,Je les donne;Je les vends;Je les jette,Certains vêtements restent parfois inutilisés,5,Rarement,Parfois,Rarement,5,Assez,1,1,1,3,Pantalon cargo;Campus,J’en ai entendu parler sans bien savoir,Oui,1,1,Abordables;Facilité d’achat;Mode actuelle,15,Une femme,Je ne sais pas,Étudiant(e),,10,10,3,4,10,,MB8C-TEP4,01/11/2025 10:37:43,01/11/2025 10:42:13,,"269,60041",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
233,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les jette;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,7,Rarement,Jamais,Jamais,7,Beaucoup,6,1,,1,Aucun,Oui,"Non, mais je connais ces plateformes",7,7,Abordables,18,Un homme,C'est un outil d'expression personnelle,Autre,Lycéen,8,7,9,6,7,,EGLD-LVUU,01/11/2025 10:47:47,01/11/2025 10:51:33,,"225,510262",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
234,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les jette,Je porte presque toujours mes achats,5,Parfois,Rarement,Rarement,10,Assez,3,2,1,1,Samba,Oui,Oui,3,5,Abordables;Facilité d’achat;Mode actuelle,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,1,10,5,5,3,,YGBX-2SHG,01/11/2025 10:57:29,01/11/2025 11:05:28,,"478,795793",Direct,FR,Tablette,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
235,Tous les 2 à 3 mois,Magasin physique;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends;Je les jette,Je porte presque toujours mes achats,5,Rarement,Parfois,Parfois,8,Assez,4,2,1,3,Pantalon cargo;Samba,Oui,"Non, mais je connais ces plateformes",5,6,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,10,5,4,8,,EEZN-UMUK,01/11/2025 11:29:28,01/11/2025 11:40:36,,"667,334522",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
236,Au moins une fois par mois,Magasin physique;Internet,6 mois à 1 an,Je les donne;Je les vends,Je porte presque toujours mes achats,7,Rarement,Jamais,Jamais,8,Assez,5,3,,1,Pantalon cargo;Campus;Samba,Oui,"Non, mais je connais ces plateformes",8,7,Par conseil d’amis/famille;Par réseaux sociaux/Publicité,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,8,2,6,7,,8FRB-JSBF,01/11/2025 12:09:16,01/11/2025 12:14:43,,"327,2466",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
237,Au moins une fois par an,Internet;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les vends;Je les recycle,Certains vêtements restent parfois inutilisés,2,Jamais,Jamais,Jamais,6,Beaucoup,1,1,,2,Pantalon cargo;Tote bag,Oui,Oui,8,10,Abordables,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,7,2,3,5,,2JBA-5V5P,01/11/2025 12:36:12,01/11/2025 12:44:52,,"519,481756",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
238,Tous les 2 à 3 mois,Internet,1 à 5 ans,Je les recycle;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,1,Rarement,Souvent,Parfois,10,Beaucoup,1,1,1,10,Tote bag,Non,Oui,8,6,Beaucoup d’options;Abordables,17,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,8,1,1,6,,9B2J-GASK,01/11/2025 12:51:51,01/11/2025 12:56:04,,"252,741894",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
239,Au moins une fois par an,Internet,Plus de 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,2,Jamais,Rarement,Jamais,5,Assez,3,1,1,4,Aucun,Non,Oui,5,2,Abordables;Facilité d’achat;Par conseil d’amis/famille,15,Une femme,Je ne sais pas,Étudiant(e),,7,8,3,1,5,,B2TD-MDKY,01/11/2025 13:06:54,01/11/2025 13:13:14,,"380,394054",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
240,Tous les 4 à 6 mois,Magasin physique,6 mois à 1 an,Je les donne;Je les vends;Je les recycle,Je porte presque toujours mes achats,6,Parfois,Souvent,Parfois,8,Beaucoup,5,1,1,1,Pantalon cargo;Samba,Oui,Oui,9,7,Beaucoup d’options;Abordables,18,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,5,5,1,7,,E7AW-D22K,01/11/2025 13:30:54,01/11/2025 13:39:21,,"506,533917",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
241,Tous les 4 à 6 mois,Magasin physique;Internet;Friperie / Seconde main;Marché local,6 mois à 1 an,Je les donne;Je les vends;Je les jette,Certains vêtements restent parfois inutilisés,7,Parfois,Jamais,Jamais,10,Peu,5,1,,1,Pantalon cargo,Non,Oui,4,6,Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections,14,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,8,1,3,10,,FNEQ-2T78,01/11/2025 13:54:39,01/11/2025 14:00:15,,"336,243486",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
242,Au moins une fois par an,Internet,1 à 5 ans,Je les recycle,Je porte presque toujours mes achats,3,Jamais,Jamais,Jamais,8,Assez,3,2,,2,Tote bag,Oui,Oui,6,6,Par réseaux sociaux/Publicité,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,4,3,4,2,7,,M83U-DURQ,01/11/2025 14:50:45,01/11/2025 14:54:37,,"231,525751",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
243,Moins d'une fois par an,Friperie / Seconde main;Marché local,Plus de 5 ans,Je les garde sans les utiliser,Une grande partie de mes achats ne sont jamais portés,8,Jamais,Rarement,Parfois,8,Assez,7,7,6,3,Aucun,J’en ai entendu parler sans bien savoir,"Non, je ne connais pas ces plateformes",1,5,Facilité d’achat,26,Une femme,Je ne sais pas,Chef d'entreprise / PDG,,10,1,1,1,4,,WY5C-3R7K,01/11/2025 14:55:42,01/11/2025 14:58:02,,"139,963515",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
244,Tous les 2 à 3 mois,Magasin physique;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,7,Rarement,Parfois,Parfois,8,Assez,5,3,7,5,Pantalon cargo;Samba,Oui,Oui,8,6,Par conseil d’amis/famille,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,9,5,4,7,,ZMHC-3QYG,01/11/2025 15:07:45,01/11/2025 15:12:30,,"285,78625",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
245,Au moins une fois par mois,Magasin physique,Plus de 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,5,Rarement,Jamais,Jamais,7,Peu,2,1,,1,Aucun,Non,"Non, mais je connais ces plateformes",4,3,Renouvellement des collections,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,2,8,3,3,10,,E3NR-CQN6,01/11/2025 15:53:36,01/11/2025 16:00:08,,"392,470147",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
246,Tous les 2 à 3 mois,Magasin physique;Internet,6 mois à 1 an,Je les donne,Je porte presque toujours mes achats,8,Souvent,Parfois,Rarement,9,Beaucoup,7,8,5,7,Campus,Oui,Oui,6,5,Abordables;Facilité d’achat,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,7,5,8,8,,8LS3-ZV47,01/11/2025 16:35:17,01/11/2025 16:38:34,,"196,908595",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
247,Tous les 4 à 6 mois,Magasin physique,Plus de 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,2,Rarement,Rarement,Parfois,10,Assez,2,1,8,1,Campus,Oui,"Non, mais je connais ces plateformes",5,8,Facilité d’achat,16,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,6,10,5,6,8,,DN29-MHNE,01/11/2025 16:39:50,01/11/2025 16:42:45,,"175,786246",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
248,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,1,Rarement,Jamais,Jamais,5,Beaucoup,1,1,,5,Campus;Samba,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",2,5,Facilité d’achat,17,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,1,10,1,1,10,,ZL2W-5W99,01/11/2025 16:47:27,01/11/2025 16:50:28,,"181,182894",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
249,Au moins une fois par mois,Magasin physique;Internet;Friperie / Seconde main,Moins de 6 mois,Je les jette;Je les garde sans les utiliser,Une grande partie de mes achats ne sont jamais portés,1,Rarement,Parfois,Rarement,7,Assez,9,7,2,2,Aucun,Oui,Oui,5,1,Abordables,35,Une femme,C'est un outil d'expression personnelle,Sans emploi actuellement,,7,7,5,5,3,,3MZP-ZAVS,01/11/2025 17:02:43,01/11/2025 17:15:00,,"737,196296",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
250,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les vends,Certains vêtements restent parfois inutilisés,3,Jamais,Jamais,Jamais,6,Assez,1,1,,1,Aucun,Oui,Oui,4,6,Beaucoup d’options;Abordables;Facilité d’achat;Par conseil d’amis/famille,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,7,3,2,9,,93AE-XPVW,01/11/2025 17:26:10,01/11/2025 17:30:41,,"271,155198",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
251,Tous les 4 à 6 mois,Internet,Plus de 5 ans,Je les donne;Je les vends;Je les jette,Je porte presque toujours mes achats,7,Rarement,Rarement,Parfois,10,Beaucoup,1,5,1,1,Aucun,Non,Oui,1,1,Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections,44,Une femme,Je ne sais pas,Cadre,,10,10,5,5,10,,LFNY-YZ9R,01/11/2025 17:40:32,01/11/2025 17:44:46,,"253,141423",direct,FR,Smartphone,Terminé,,
252,Tous les 4 à 6 mois,Magasin physique;Marché local,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,7,Parfois,Jamais,Parfois,3,Peu,1,1,,5,Aucun,Non,"Non, je ne connais pas ces plateformes",7,1,Par conseil d’amis/famille,69,Une femme,Je ne sais pas,Autre,Retraité,10,5,1,6,10,,LHNU-2PEZ,01/11/2025 17:39:27,01/11/2025 17:48:49,,"561,619909",direct,FR,Smartphone,Terminé,,
253,Tous les 4 à 6 mois,Magasin physique;Internet;Marché local,Plus de 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,5,Rarement,Jamais,Jamais,5,Assez,1,2,,2,Aucun,Oui,Oui,5,2,Abordables,71,Une femme,Je ne sais pas,Autre,Retraitée,9,7,8,8,9,,A9CM-HZ6B,01/11/2025 17:37:42,01/11/2025 17:49:25,,"703,172068",direct,FR,Smartphone,Terminé,,
254,Au moins une fois par mois,Magasin physique;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les jette,Certains vêtements restent parfois inutilisés,7,Rarement,Parfois,Rarement,7,Assez,6,6,4,4,Pantalon cargo;Tote bag,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",7,6,Abordables;Mode actuelle;Renouvellement des collections,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,9,7,5,4,10,,NSN5-8KPB,01/11/2025 17:43:23,01/11/2025 17:51:48,,"504,647226",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
